video_id,video_url,title,description,published_at,duration_seconds,is_short,recording_lat,recording_lng,recording_location_description,view_count,like_count,comment_count,thumbnail_url
kC-5tLI9IeU,https://www.youtube.com/watch?v=kC-5tLI9IeU,Being Albino in Africa | The Horrifying Reality,"If you’re ever injured in an accident, you can check out Morgan & Morgan. You can start your claim in just a click without having to leave your couch: https://www.forthepeople.com/Drew

In Tanzania, dozens of people with albinism have recently been killed and their body parts have been sold for witchcraft-related beliefs. It's one of the most terrible things I've ever heard, but when I discovered a support center for albinos in Tanzania, I wanted to check it out and learn more about what's happening and how we can help them.  I'm so happy that I found Sister Martha - she is incredible and building something amazing to protect these vulnerable and innocent people.  Thank you for watching the story, and I would love to hear your thoughts and opinions in the comment section down below. 

You can donate to Sister Martha and her albino support center here: https://www.peacemakersforalbinism-tz.org/support

#africa #travel #albino 

✅  Don't forget to SUBSCRIBE to my channel by clicking here ➞   https://www.youtube.com/channel/UC0Ize0RLIbGdH5x4wI45G-A

▶️ Watch my favorite videos ➞ https://www.youtube.com/playlist?list=PLhiP3P44ul3Y8LDbhXJmhVsVWcpe-7O4O

I wrote a book called JUST GO, with exclusive travel stories & tips to inspire your next adventures! https://shorturl.at/6biKO

I'm on a mission to meet EVERY PRESIDENT, leader or head-of-state in the world -- if you have any leads for any countries, please fill out this form! https://forms.gle/qjDp6SXUwGMcBEDZA

FIND ME ON:
► INSTAGRAM: https://www.instagram.com/drewbinsky/
► TIKTOK: https://www.tiktok.com/@drewbinsky
► FACEBOOK: https://www.facebook.com/drewbinsky
► YOUTUBE 2ND CHANNEL: https://rb.gy/a65sj

👨🏻‍🦰 WHO AM I? 
I'm Drew Binsky, and I have been to every country in the world (197/197), and now my goal is to meet every President.  I make documentaries about interesting people/cultures and epic adventures in faraway places.  My ultimate goal is to inspire you to travel, because travel is the best education you can get.  And our planet is beautiful!

MOST POPULAR YOUTUBE VIDEOS:
► He Hasn't Slept Since 1962: http://y2u.be/EDx1JvPEtxs
► 3 Things You Can't Do in North Korea: http://y2u.be/mNsx0Nqryos
► Inside Hong Kong's Coffin-Sized Apartments: http://y2u.be/6amK2BgjXk8
► Tallest Humans on Earth: http://y2u.be/u03kNQNclGY
► He Is The Ice Man: http://y2u.be/VF8dkjEdKNo

🙏 GET IN TOUCH!
► Website: https://www.drewbinsky.com
► Email: team@drewbinsky.com",2026-04-04T14:58:21Z,1070,False,,,,744706,22387,1533,https://i.ytimg.com/vi/kC-5tLI9IeU/maxresdefault.jpg
Z2DWxQyDnuM,https://www.youtube.com/watch?v=Z2DWxQyDnuM,What It’s Like Inside A Gypsy Slum,"Use code “DrewBinsky” on https://packdraw.us/en-us for a $5 deposit bonus

I have spent 2 years of my life living in Prague, but this is the first time I've seen anything like this... Huge thanks to my good friend @PPPeter_Official for coming along and helping with translations.  Check out his channel if you want to see more travel content, but a lot funnier than mine!

#europe #gypsy #travel 

✅  Don't forget to SUBSCRIBE to my channel by clicking here ➞   https://www.youtube.com/channel/UC0Ize0RLIbGdH5x4wI45G-A

▶️ Watch my favorite videos ➞ https://www.youtube.com/playlist?list=PLhiP3P44ul3Y8LDbhXJmhVsVWcpe-7O4O

I wrote a book called JUST GO, with exclusive travel stories & tips to inspire your next adventures! https://shorturl.at/6biKO

I'm on a mission to meet EVERY PRESIDENT, leader or head-of-state in the world -- if you have any leads for any countries, please fill out this form! https://forms.gle/qjDp6SXUwGMcBEDZA

FIND ME ON:
► INSTAGRAM: https://www.instagram.com/drewbinsky/
► TIK TOK: https://www.tiktok.com/@drewbinsky
► FACEBOOK: https://www.facebook.com/drewbinsky
► YOUTUBE 2ND CHANNEL: https://rb.gy/a65sj

👨🏻‍🦰 WHO AM I? 
I'm Drew Binsky, and I have been to every country in the world (197/197), and now my goal is to meet every President.  I make documentaries about interesting people/cultures and epic adventures in faraway places.  My ultimate goal is to inspire you to travel, because travel is the best education you can get.  And our planet is beautiful!

MOST POPULAR YOUTUBE VIDEOS:
► He Hasn't Slept Since 1962: http://y2u.be/EDx1JvPEtxs
► 3 Things You Can't Do in North Korea: http://y2u.be/mNsx0Nqryos
► Inside Hong Kong's Coffin-Sized Apartments: http://y2u.be/6amK2BgjXk8
► Tallest Humans on Earth: http://y2u.be/u03kNQNclGY
► He Is The Ice Man: http://y2u.be/VF8dkjEdKNo

🙏 GET IN TOUCH!
► Website: https://www.drewbinsky.com
► Email: team@drewbinsky.com",2026-03-28T14:00:01Z,1890,False,,,,970619,22620,1320,https://i.ytimg.com/vi/Z2DWxQyDnuM/maxresdefault.jpg
K5B86nQxDOE,https://www.youtube.com/watch?v=K5B86nQxDOE,What It’s Like In Greenland Today 🇬🇱,"Greenland was incredible! I got to finally explore the town of Nuuk, and then go way up North to shadow a fisherman for a few days and appreciate the Inuit traditions and way of life.  I can’t wait to get this full documentary edited for you guys to watch soon!
Thank you to @oppo for sending me here, and letting me test out the brand new Oppo Find N6 foldable smart phone! It’s crazy how big the screen is, and is also really cool to have multiple tabs open on screen, like I can do on my computer!  #OPPOFindN6 #UltimateFlatFold #PocketAISpace",2026-03-27T22:19:50Z,89,False,71.706936,-42.604303,Greenland,54457,2214,110,https://i.ytimg.com/vi/K5B86nQxDOE/maxresdefault.jpg
TVivXhYDqM4,https://www.youtube.com/watch?v=TVivXhYDqM4,We Found Mexico’s Hidden Beach Town,"Escaped to Rocky Point, Mexico for the weekend with my wife and pug. Thank you to @oppo for sending us here, and letting us test out the brand new Oppo Find N6 foldable smart phone! The screen on this thing is MASSIVE and it’s been super fun to play around with and test out all of the cool features!  #OPPOFindN6 #UltimateFlatFold #PocketAISpace",2026-03-19T17:33:11Z,87,False,,,,43949,1714,60,https://i.ytimg.com/vi/TVivXhYDqM4/maxresdefault.jpg
39_qlmYxTJU,https://www.youtube.com/watch?v=39_qlmYxTJU,Inside Tokyo's Smallest Apartments,"Join Revolut and get $20 by clicking here: https://get.revolut.com/z4lF/drewbinsky4

Tokyo is a fascinating city, and there are so many things happening behind the scenes that you don't see from the street.  And because there are more than 30 million people, establishments like apartments and restaurants are extremely small!  I spent weeks in Tokyo uncovering the smallest apartments, getting drinks at the smallest bars, and eating at the tiniest restaurants to show you just how miniature life is in the world's biggest city. 

Offer expires 6 months from 03/14/2026. Exclusions apply. $20 bonus paid by Revolut subject to the terms and conditions: revolut.com/en-US/legal/partner-sign-up-bonus/

#japan #tokyo #asia 

Thank you to my friend Sota for guiding me around Tokyo! Check out his channel here: https://www.youtube.com/@syrbros.fromtokyototheworld

✅  Don't forget to SUBSCRIBE to my channel by clicking here ➞   https://www.youtube.com/channel/UC0Ize0RLIbGdH5x4wI45G-A

▶️ Watch my favorite videos ➞ https://www.youtube.com/playlist?list=PLhiP3P44ul3Y8LDbhXJmhVsVWcpe-7O4O

I wrote a book called JUST GO, with exclusive travel stories & tips to inspire your next adventures! https://shorturl.at/6biKO

I'm on a mission to meet EVERY PRESIDENT, leader or head-of-state in the world -- if you have any leads for any countries, please fill out this form! https://forms.gle/qjDp6SXUwGMcBEDZA

FIND ME ON:
► INSTAGRAM: https://www.instagram.com/drewbinsky/
► TIK TOK: https://www.tiktok.com/@drewbinsky
► FACEBOOK: https://www.facebook.com/drewbinsky
► YOUTUBE 2ND CHANNEL: https://rb.gy/a65sj

👨🏻‍🦰 WHO AM I? 
I'm Drew Binsky, and I have been to every country in the world (197/197), and now my goal is to meet every President.  I make documentaries about interesting people/cultures and epic adventures in faraway places.  My ultimate goal is to inspire you to travel, because travel is the best education you can get.  And our planet is beautiful!

MOST POPULAR YOUTUBE VIDEOS:
► He Hasn't Slept Since 1962: http://y2u.be/EDx1JvPEtxs
► 3 Things You Can't Do in North Korea: http://y2u.be/mNsx0Nqryos
► Inside Hong Kong's Coffin-Sized Apartments: http://y2u.be/6amK2BgjXk8
► Tallest Humans on Earth: http://y2u.be/u03kNQNclGY
► He Is The Ice Man: http://y2u.be/VF8dkjEdKNo

🙏 GET IN TOUCH!
► Website: https://www.drewbinsky.com
► Email: team@drewbinsky.com",2026-03-14T14:00:17Z,2210,False,,,,1959075,33343,1767,https://i.ytimg.com/vi/39_qlmYxTJU/maxresdefault.jpg
VrIO-r1OyhM,https://www.youtube.com/watch?v=VrIO-r1OyhM,Entering Makoko | World's Largest Floating Slum,"Since filming this video, the Lagos State Government has destroyed large parts of Makoko and evicted thousands of residents.  I hope that everyone out there is safe and that the government has provided a new place for them to live.  Thank you for watching this story and I would love to hear your thoughts, opinions and reactions in the comments down below. 

#travel #nigeria #culture 

✅  Don't forget to SUBSCRIBE to my channel by clicking here ➞   https://www.youtube.com/channel/UC0Ize0RLIbGdH5x4wI45G-A

▶️ Watch my favorite videos ➞ https://www.youtube.com/playlist?list=PLhiP3P44ul3Y8LDbhXJmhVsVWcpe-7O4O

I wrote a book called JUST GO, with exclusive travel stories & tips to inspire your next adventures! https://shorturl.at/6biKO

I'm on a mission to meet EVERY PRESIDENT, leader or head-of-state in the world -- if you have any leads for any countries, please fill out this form! https://forms.gle/qjDp6SXUwGMcBEDZA

FIND ME ON:
► INSTAGRAM: https://www.instagram.com/drewbinsky/
► TIK TOK: https://www.tiktok.com/@drewbinsky
► FACEBOOK: https://www.facebook.com/drewbinsky
► YOUTUBE 2ND CHANNEL: https://rb.gy/a65sj

👨🏻‍🦰 WHO AM I? 
I'm Drew Binsky, and I have been to every country in the world (197/197), and now my goal is to meet every President.  I make documentaries about interesting people/cultures and epic adventures in faraway places.  My ultimate goal is to inspire you to travel, because travel is the best education you can get.  And our planet is beautiful!

MOST POPULAR YOUTUBE VIDEOS:
► He Hasn't Slept Since 1962: http://y2u.be/EDx1JvPEtxs
► 3 Things You Can't Do in North Korea: http://y2u.be/mNsx0Nqryos
► Inside Hong Kong's Coffin-Sized Apartments: http://y2u.be/6amK2BgjXk8
► Tallest Humans on Earth: http://y2u.be/u03kNQNclGY
► He Is The Ice Man: http://y2u.be/VF8dkjEdKNo

🙏 GET IN TOUCH!
► Website: https://www.drewbinsky.com
► Email: team@drewbinsky.com",2026-03-07T16:00:12Z,1692,False,,,,2758777,50158,2662,https://i.ytimg.com/vi/VrIO-r1OyhM/maxresdefault.jpg
TPWJWlw6YqA,https://www.youtube.com/watch?v=TPWJWlw6YqA,I Found A Tunnel Where 100 Families Live (Philippines),"Learn more about Nutrafol Men here: https://nutrafol.pxf.io/c/3810653/3794339/17065 #NutrafolPartner 

In Manila, Philippines, there is a community of 100 families living in a tunnel underneath the busiest freeway in the city. Down there, it's claustrophonic, sweaty and crowded -- but I wanted to learn about how people are living, so I went in with an open mind and I was shocked to find out the full story. 

#philippines #asia #travel 

✅  Don't forget to SUBSCRIBE to my channel by clicking here ➞   https://www.youtube.com/channel/UC0Ize0RLIbGdH5x4wI45G-A

▶️ Watch my favorite videos ➞ https://www.youtube.com/playlist?list=PLhiP3P44ul3Y8LDbhXJmhVsVWcpe-7O4O

I wrote a book called JUST GO, with exclusive travel stories & tips to inspire your next adventures! https://shorturl.at/6biKO

I'm on a mission to meet EVERY PRESIDENT, leader or head-of-state in the world -- if you have any leads for any countries, please fill out this form! https://forms.gle/qjDp6SXUwGMcBEDZA

FIND ME ON:
► INSTAGRAM: https://www.instagram.com/drewbinsky/
► TIKTOK: https://www.tiktok.com/@drewbinsky
► FACEBOOK: https://www.facebook.com/drewbinsky
► YOUTUBE 2ND CHANNEL: https://rb.gy/a65sj

👨🏻‍🦰 WHO AM I? 
I'm Drew Binsky, and I have been to every country in the world (197/197), and now my goal is to meet every President.  I make documentaries about interesting people/cultures and epic adventures in faraway places.  My ultimate goal is to inspire you to travel, because travel is the best education you can get.  And our planet is beautiful!

MOST POPULAR YOUTUBE VIDEOS:
► He Hasn't Slept Since 1962: http://y2u.be/EDx1JvPEtxs
► 3 Things You Can't Do in North Korea: http://y2u.be/mNsx0Nqryos
► Inside Hong Kong's Coffin-Sized Apartments: http://y2u.be/6amK2BgjXk8
► Tallest Humans on Earth: http://y2u.be/u03kNQNclGY
► He Is The Ice Man: http://y2u.be/VF8dkjEdKNo

🙏 GET IN TOUCH!
► Website: https://www.drewbinsky.com
► Email: team@drewbinsky.com",2026-02-21T15:00:15Z,1743,False,,,,7117969,138366,9914,https://i.ytimg.com/vi/TPWJWlw6YqA/maxresdefault.jpg
lr-cAWKdWxk,https://www.youtube.com/watch?v=lr-cAWKdWxk,Inside Korea's Smallest Apartments,"Use code “DrewBinsky” on PackDraw for a 5% deposit bonus

Seoul is one of the biggest, brightest, and busiest cities on the planet, but did you know that hundreds of thousands of its residents are living in micro-apartments that can barely fit a small bed? Join me in this adventure as I take you around Seoul to meet residents living in these tiny homes and find out their stories! 

Huge thanks to my friend Jimmy for taking me around Seoul! Check out his channel here: https://www.youtube.com/@jimmykimtv

#korea #kpop #asia 

✅  Don't forget to SUBSCRIBE to my channel by clicking here ➞   https://www.youtube.com/channel/UC0Ize0RLIbGdH5x4wI45G-A

▶️ Watch my favorite videos ➞ https://www.youtube.com/playlist?list=PLhiP3P44ul3Y8LDbhXJmhVsVWcpe-7O4O

I wrote a book called JUST GO, with exclusive travel stories & tips to inspire your next adventures! https://shorturl.at/6biKO

I'm on a mission to meet EVERY PRESIDENT, leader or head-of-state in the world -- if you have any leads for any countries, please fill out this form! https://forms.gle/qjDp6SXUwGMcBEDZA

FIND ME ON:
► INSTAGRAM: https://www.instagram.com/drewbinsky/
► TIK TOK: https://www.tiktok.com/@drewbinsky
► FACEBOOK: https://www.facebook.com/drewbinsky
► YOUTUBE 2ND CHANNEL: https://rb.gy/a65sj

👨🏻‍🦰 WHO AM I? 
I'm Drew Binsky, and I have been to every country in the world (197/197), and now my goal is to meet every President.  I make documentaries about interesting people/cultures and epic adventures in faraway places.  My ultimate goal is to inspire you to travel, because travel is the best education you can get.  And our planet is beautiful!

MOST POPULAR YOUTUBE VIDEOS:
► He Hasn't Slept Since 1962: http://y2u.be/EDx1JvPEtxs
► 3 Things You Can't Do in North Korea: http://y2u.be/mNsx0Nqryos
► Inside Hong Kong's Coffin-Sized Apartments: http://y2u.be/6amK2BgjXk8
► Tallest Humans on Earth: http://y2u.be/u03kNQNclGY
► He Is The Ice Man: http://y2u.be/VF8dkjEdKNo

🙏 GET IN TOUCH!
► Website: https://www.drewbinsky.com
► Email: team@drewbinsky.com",2026-01-31T17:00:02Z,2022,False,,,,3584879,55837,3675,https://i.ytimg.com/vi/lr-cAWKdWxk/maxresdefault.jpg
xqcDfRrcC2o,https://www.youtube.com/watch?v=xqcDfRrcC2o,I Spent A Day With The Slum Princess of Mumbai,"If you’re ever injured in an accident, you can check out Morgan & Morgan. You can start your claim in just a click without having to leave your couch: https://www.forthepeople.com/Drew

I am so happy that I got to spend a few days with Maleesha in Mumbai, her hometown.  I've been telling stories about inspiring people since 2017, and this one is perhaps the most incredible that you will ever hear from me :) 

#india #model #mumbai 

Maleesha just launched a jewelry line! You can support and check out her infinity heart necklace design here: https://maleeshabymaleesha.com/

And follow her on Instagram: https://www.instagram.com/maleeshakharwa

✅  Don't forget to SUBSCRIBE to my channel by clicking here ➞   https://www.youtube.com/channel/UC0Ize0RLIbGdH5x4wI45G-A

▶️ Watch my favorite videos ➞ https://www.youtube.com/playlist?list=PLhiP3P44ul3Y8LDbhXJmhVsVWcpe-7O4O

I wrote a book called JUST GO, with exclusive travel stories & tips to inspire your next adventures! https://shorturl.at/6biKO

I'm on a mission to meet EVERY PRESIDENT, leader or head-of-state in the world -- if you have any leads for any countries, please fill out this form! https://forms.gle/qjDp6SXUwGMcBEDZA

FIND ME ON:
► INSTAGRAM: https://www.instagram.com/drewbinsky/
► TIK TOK: https://www.tiktok.com/@drewbinsky
► FACEBOOK: https://www.facebook.com/drewbinsky
► YOUTUBE 2ND CHANNEL: https://rb.gy/a65sj

👨🏻‍🦰 WHO AM I? 
I'm Drew Binsky, and I have been to every country in the world (197/197), and now my goal is to meet every President.  I make documentaries about interesting people/cultures and epic adventures in faraway places.  My ultimate goal is to inspire you to travel, because travel is the best education you can get.  And our planet is beautiful!

MOST POPULAR YOUTUBE VIDEOS:
► He Hasn't Slept Since 1962: http://y2u.be/EDx1JvPEtxs
► 3 Things You Can't Do in North Korea: http://y2u.be/mNsx0Nqryos
► Inside Hong Kong's Coffin-Sized Apartments: http://y2u.be/6amK2BgjXk8
► Tallest Humans on Earth: http://y2u.be/u03kNQNclGY
► He Is The Ice Man: http://y2u.be/VF8dkjEdKNo

🙏 GET IN TOUCH!
► Website: https://www.drewbinsky.com
► Email: team@drewbinsky.com",2026-01-24T13:01:22Z,1282,False,,,,2241354,61834,4166,https://i.ytimg.com/vi/xqcDfRrcC2o/maxresdefault.jpg
eUaqiPr-EVc,https://www.youtube.com/watch?v=eUaqiPr-EVc,3 Sketchiest Places In Europe You Won't Believe Are Real,,2026-01-21T15:01:14Z,85,False,,,,200157,7748,122,https://i.ytimg.com/vi/eUaqiPr-EVc/maxresdefault.jpg
